country,region_id,authority_id,auth_name_e,old_park_id,new_park_id,park_offical_id
England,E12000005,E06000019,"Herefordshire, County of",HEREF_49997b932c13;HEREF_f6217d32fb96,d3868a0d79c9,HEREF_0
England,E12000005,E06000019,"Herefordshire, County of",HEREF_4a1bf9d6c18c;HEREF_d20cc72549a0,5a83c316dbef,HEREF_1
England,E12000005,E06000019,"Herefordshire, County of",HEREF_a0d1480fa740,f412d10f5d60,HEREF_2
England,E12000005,E06000019,"Herefordshire, County of",HEREF_3b686ecc1fd4,024f2c176e56,HEREF_3
England,E12000005,E06000019,"Herefordshire, County of",HEREF_681ebd591978;HEREF_4951fdb6dbed,0bec31c5c1d3,HEREF_4
England,E12000005,E06000019,"Herefordshire, County of",HEREF_063afde47411,3ed44f4f5200,HEREF_5
England,E12000005,E06000019,"Herefordshire, County of",HEREF_2dbcb99ae5d7,90dd612a69ce,HEREF_6
England,E12000005,E06000019,"Herefordshire, County of",HEREF_b770c59e4737,81f2388469c1,HEREF_7
England,E12000005,E06000019,"Herefordshire, County of",HEREF_b6dc6a0e07ce;HEREF_4fb7fb1f5473,d894cc7626de,HEREF_8
England,E12000005,E06000019,"Herefordshire, County of",HEREF_815c64910c55;HEREF_ee6defb68755,75ac28fa8044,HEREF_9
England,E12000005,E06000019,"Herefordshire, County of",HEREF_cdaf720cc5c5;HEREF_e4114af2298e,57d23749745e,HEREF_10
England,E12000005,E06000019,"Herefordshire, County of",HEREF_22eefed0b7bf,275efaeec3c3,HEREF_11
England,E12000005,E06000019,"Herefordshire, County of",HEREF_ea25adea8093,f03d9c7ef16b,HEREF_12
England,E12000005,E06000019,"Herefordshire, County of",HEREF_0df72e1f3786,8504e8484bcf,HEREF_13
England,E12000005,E06000019,"Herefordshire, County of",HEREF_cc3ccdc36aee,d54f97c09c59,HEREF_14
England,E12000005,E06000019,"Herefordshire, County of",HEREF_e4aaaed631b6;HEREF_2ee2be4abe5f,3d6a621bc605,HEREF_15
England,E12000005,E06000019,"Herefordshire, County of",HEREF_984acac50845,9b3d21fc118c,HEREF_16
England,E12000005,E06000019,"Herefordshire, County of",HEREF_11803c58b83f;HEREF_a81fdbca0e06;HEREF_50a8db777f5b;HEREF_be32271b0727,3e0b938946e2,HEREF_17
England,E12000005,E06000019,"Herefordshire, County of",HEREF_330e8feead88,5bb8df8afb63,HEREF_18
England,E12000005,E06000019,"Herefordshire, County of",HEREF_4d654c0d04d5;HEREF_c446038e35cf,c4263d702a1f,HEREF_19
England,E12000005,E06000019,"Herefordshire, County of",HEREF_e4a267c56a74,250b014625b4,HEREF_20
England,E12000005,E06000019,"Herefordshire, County of",HEREF_8e13afd23e87,78846bbff2b3,HEREF_21
England,E12000005,E06000019,"Herefordshire, County of",HEREF_221217b7bbf9;HEREF_d081e84aae7a,56cc15b50eab,HEREF_22
England,E12000005,E06000019,"Herefordshire, County of",HEREF_e52012f6e6e2,48a37eb4b4af,HEREF_23
England,E12000005,E06000019,"Herefordshire, County of",HEREF_51b09b2e9c74,1598dd515e55,HEREF_24
England,E12000005,E06000019,"Herefordshire, County of",HEREF_395c4a4fcf9e,b4c165876d59,HEREF_25
England,E12000005,E06000019,"Herefordshire, County of",HEREF_a6199bb8a8b4,8ba6fc4e44f4,HEREF_26
England,E12000005,E06000019,"Herefordshire, County of",HEREF_cc6913e6fc79,5caea6c0a2bb,HEREF_27
England,E12000005,E06000019,"Herefordshire, County of",HEREF_9e646550ae2a,598c90848807,HEREF_28
England,E12000005,E06000019,"Herefordshire, County of",HEREF_77f38078bd9d;HEREF_96964c42002b,b10c8cd1f1d2,HEREF_29
England,E12000005,E06000019,"Herefordshire, County of",HEREF_af8a44c73531;HEREF_abe219ba2abb,0e2d5dd102f8,HEREF_30
England,E12000005,E06000019,"Herefordshire, County of",HEREF_0908e6f79e31,a9a6d68c78ab,HEREF_31
England,E12000005,E06000019,"Herefordshire, County of",HEREF_f7ce9ef2c6a5;HEREF_bfff0a2e633a;HEREF_b67aa755ec09,954d9662a1f3,HEREF_32
England,E12000005,E06000019,"Herefordshire, County of",HEREF_558bfb77ad2b,f3c924622466,HEREF_33
England,E12000005,E06000019,"Herefordshire, County of",HEREF_1bfe320ccda1,f8330abe929f,HEREF_34
England,E12000005,E06000019,"Herefordshire, County of",HEREF_c48f29bd0dfd,ebaa771e0562,HEREF_35
England,E12000005,E06000019,"Herefordshire, County of",HEREF_e67610d07d58,17960de6ea89,HEREF_36
England,E12000005,E06000019,"Herefordshire, County of",HEREF_abc2c69d676f;HEREF_d8ccb5e72f33,a449ad10903a,HEREF_37
England,E12000005,E06000019,"Herefordshire, County of",HEREF_808f4a583fd9,40d5152a681f,HEREF_38
England,E12000005,E06000019,"Herefordshire, County of",HEREF_34e04ade6e92,a69b636b8849,HEREF_39
England,E12000005,E06000019,"Herefordshire, County of",HEREF_eca9ded04fea,b14a3538210e,HEREF_40
England,E12000005,E06000019,"Herefordshire, County of",HEREF_0ae8176b3f2e;HEREF_68b3b562d62c,178bb5a37a0a,HEREF_41
England,E12000005,E06000019,"Herefordshire, County of",HEREF_be65d9309fa0;HEREF_8142e8d8b9f0,19ecb96e6bc4,HEREF_42
England,E12000005,E06000019,"Herefordshire, County of",HEREF_2e1d3d280b86;HEREF_40fab22325b7,d687de709314,HEREF_43
England,E12000005,E06000019,"Herefordshire, County of",HEREF_8c3255c39325;HEREF_798737415247,c63f6a897475,HEREF_44
England,E12000005,E06000019,"Herefordshire, County of",HEREF_9b22dae10774,4cb9a8d1b844,HEREF_45
England,E12000005,E06000019,"Herefordshire, County of",HEREF_20aa7e227d41;HEREF_2f4d2ce5a085,be95f8bf204c,HEREF_46
England,E12000005,E06000019,"Herefordshire, County of",HEREF_030d93d11314,14c80d17c232,HEREF_47
England,E12000005,E06000019,"Herefordshire, County of",HEREF_47a6571df03d,ab874d47bbfc,HEREF_48
England,E12000005,E06000019,"Herefordshire, County of",HEREF_174ea0f2201b;HEREF_2c05f55403f4,2545fc08f449,HEREF_49
