country,region_id,authority_id,auth_name_e,old_park_id,new_park_id
England,E12000005,E07000239,Wyre Forest,WYRFO_96561374bfb8,93b062cd3b15
England,E12000005,E07000239,Wyre Forest,WYRFO_43d94f110adf;WYRFO_5f75f6c21221,63b1437b7f96
England,E12000005,E07000239,Wyre Forest,WYRFO_f6b75d5d54d6;WYRFO_d3098c80674c,a8f3d99faebf
England,E12000005,E07000239,Wyre Forest,WYRFO_7a8e0655a8c7;WYRFO_f9df73fe5e52,d0203d0cf759
England,E12000005,E07000239,Wyre Forest,WYRFO_1b8167ac3860;WYRFO_5a10b78b55a8,ad53706906f2
England,E12000005,E07000239,Wyre Forest,WYRFO_cc83f65f3eaa;WYRFO_cbe06478bede,b315cbe0d1cd
England,E12000005,E07000239,Wyre Forest,WYRFO_1d209c77e482,ed4b04fddaf3
England,E12000005,E07000239,Wyre Forest,WYRFO_abd95d3489da;WYRFO_74817d184b4f,8795d6244a59
England,E12000005,E07000239,Wyre Forest,WYRFO_69b43efa3858,0013e45565d0
England,E12000005,E07000239,Wyre Forest,WYRFO_6e7c5cf96470;WYRFO_7858512f7f5f,9cb3d5617c67
England,E12000005,E07000239,Wyre Forest,WYRFO_11a603d680a3,a373b1aa21a1
England,E12000005,E07000239,Wyre Forest,WYRFO_b5dc816b5e57;WYRFO_cd3d9d1e75b7,8e332baeff3b
England,E12000005,E07000239,Wyre Forest,WYRFO_22464456d305;WYRFO_e2a21764fa41;WYRFO_71fbb8e2abe4,21e24785e9c8
England,E12000005,E07000239,Wyre Forest,WYRFO_b869af717987,5ecca70f7299
England,E12000005,E07000239,Wyre Forest,WYRFO_33f75a0d847a;WYRFO_80f4a8b66bb6;WYRFO_6e6e71d50a30,f6bd79a96161
England,E12000005,E07000239,Wyre Forest,WYRFO_e566ed4a15bd;WYRFO_811e79dece68;WYRFO_b0f1f8d64913,ee89ccd06d44
England,E12000005,E07000239,Wyre Forest,WYRFO_4842292e5af6;WYRFO_14fb7c8a763a,93f5a95c0d9b
England,E12000005,E07000239,Wyre Forest,WYRFO_d1a24e018341;WYRFO_80d6fa564b78,3c63cfb92a4e
England,E12000005,E07000239,Wyre Forest,WYRFO_048f25bfe10c;WYRFO_261bc9514a5e,6a6565cc5734
England,E12000005,E07000239,Wyre Forest,WYRFO_41ec88e9352f,9af03a69dc79
England,E12000005,E07000239,Wyre Forest,WYRFO_86bc8ad59e8c;WYRFO_7c1cc0125413;WYRFO_a5b54a54f087,d26ffa066a26
England,E12000005,E07000239,Wyre Forest,WYRFO_0b1d02cca6ea;WYRFO_c0c871da7d59,411dbdfbdb4d
England,E12000005,E07000239,Wyre Forest,WYRFO_cd84d49cb23e,16bc2ec3066a
England,E12000005,E07000239,Wyre Forest,WYRFO_bbbcdb88c812;WYRFO_0e20815c2f51,84f3699e2f0d
England,E12000005,E07000239,Wyre Forest,WYRFO_37e342f91d6d;WYRFO_ff37ac1f2952,65c345891239
England,E12000005,E07000239,Wyre Forest,WYRFO_9bca00e25ff7;WYRFO_3b8f9935520a;WYRFO_fa432d57f9ef,09541ef94f2a
England,E12000005,E07000239,Wyre Forest,WYRFO_1d05dc5a2d61,45d580641f2f
England,E12000005,E07000239,Wyre Forest,WYRFO_df3d8d5c62d4;WYRFO_0ecbc8969d0b,c83cc2977bfd
England,E12000005,E07000239,Wyre Forest,WYRFO_59fb611848eb;WYRFO_289255a13e56;WYRFO_fd96b1514f92,996e8ebd3873
England,E12000005,E07000239,Wyre Forest,WYRFO_171efcc8dab6,30a2a663cc85
England,E12000005,E07000239,Wyre Forest,WYRFO_f86adbc48453,011aef6af98a
England,E12000005,E07000239,Wyre Forest,WYRFO_6edeaf7ff291,77e8cef957a9
England,E12000005,E07000239,Wyre Forest,WYRFO_69425f1b9a9b,a32f86b5a790
England,E12000005,E07000239,Wyre Forest,WYRFO_820265626995,79702638a28b
England,E12000005,E07000239,Wyre Forest,WYRFO_69948faaded2,069a4ddf6bc9
England,E12000005,E07000239,Wyre Forest,WYRFO_054d39ed5c5a;WYRFO_b2ac6429ef01;WYRFO_a338f4d35926,c9f9cc8a5550
England,E12000005,E07000239,Wyre Forest,WYRFO_2e7688fa323f,dbc23d0c4694
England,E12000005,E07000239,Wyre Forest,WYRFO_8208a5c7e206;WYRFO_64192c5b342a,78fb4f746949
England,E12000005,E07000239,Wyre Forest,WYRFO_8c7e1cd215d2,050ea14247c2
England,E12000005,E07000239,Wyre Forest,WYRFO_ba8aebb5e504,535e0bc8e051
England,E12000005,E07000239,Wyre Forest,WYRFO_c5c3bebd21d5;WYRFO_247c4f4651b2,9fe6efaad1b4
England,E12000005,E07000239,Wyre Forest,WYRFO_f8aff8f3d730,35f10c11ba2c
England,E12000005,E07000239,Wyre Forest,WYRFO_f9e1c1f0c4cc,0c92dfbf8a3c
England,E12000005,E07000239,Wyre Forest,WYRFO_6684b86b26ee,f29b4557a359
England,E12000005,E07000239,Wyre Forest,WYRFO_49cdcfd90ce2,b6fbb51f6cf0
England,E12000005,E07000239,Wyre Forest,WYRFO_5b6cbd1a5b51,2857870b579e
England,E12000005,E07000239,Wyre Forest,WYRFO_3c424555b05f,1e2f938fccf8
England,E12000005,E07000239,Wyre Forest,WYRFO_30cb8a124c0d,9a51e5eeabc0
England,E12000005,E07000239,Wyre Forest,WYRFO_7351802a9f3c,76b52ee4dccd
England,E12000005,E07000239,Wyre Forest,WYRFO_92581d00afc7,3ee0cba03128
England,E12000005,E07000239,Wyre Forest,WYRFO_dfd6a80e48a7,4c7d51a15b52
England,E12000005,E07000239,Wyre Forest,WYRFO_543b74cc8ed1,1136ffc236f3
